subject,state,n_windows,score,score_average19,log_posterior_frontal_alpha,log_theta_alpha,score_first30,score_last30
sub-032342,EC,14,0.4320434597124792,0.6877041447665432,1.7475491166114807,-0.7204833328723907,0.6007718789470885,0.39580469998699686
sub-032342,EO,10,0.5781834785037955,0.7411840613917531,1.1845656633377075,0.2740468680858612,0.5742912886642867,0.6087700485745664
sub-032343,EC,13,0.30463009163334687,0.46673828092869507,1.8753482103347778,-0.09886307269334793,0.3171901294972113,0.2509273636423659
sub-032343,EO,10,0.7020386931539181,0.9532956268848167,1.116893708705902,0.5883205235004425,0.7208868367708536,0.5876700586005313
sub-032347,EC,13,0.2732006785797857,0.34262642004950616,1.3403191566467285,-1.8602086305618286,0.3222452063412223,0.2831220220612293
sub-032347,EO,14,1.0496334655519657,1.1143443567541804,0.07008526660501957,-0.6915220618247986,0.9030336990248422,1.15230064770032
sub-032372,EC,13,0.31442163826431824,0.5358977692033289,1.3967227935791016,-1.172386884689331,0.3989659621238457,0.31442163826431824
sub-032372,EO,14,0.7185564228515186,0.8533440122271656,1.0475605130195618,-1.2769522666931152,0.8788953147574952,0.5132468631227283
sub-032373,EC,11,0.32760744773265216,0.32000757451145256,0.7132606506347656,-1.6118478775024414,0.333466312695436,0.32760744773265216
sub-032373,EO,7,0.9835206978775278,1.39000644965989,-0.029723914340138435,-1.0395629405975342,0.9723074032638257,1.1674009629724278
sub-032375,EC,12,0.16598647228730318,0.23350139711087337,2.38688588142395,-1.2673755288124084,0.16682539381404604,0.11265029572468155
sub-032375,EO,13,0.6142532303675101,0.6980449561653136,1.5224602222442627,0.23765802383422852,0.6687580853154408,0.5994508329940924
sub-032376,EC,14,0.39690592123143137,0.47589942266704527,1.46861732006073,-1.9882317185401917,0.3598567136161938,0.39690592123143137
sub-032376,EO,13,0.8364741084295084,0.8177720495742918,1.0767098665237427,-0.0977359190583229,0.9922184918764863,0.5849241144342809
sub-032379,EC,14,0.4386402115735964,0.5914375454750204,0.9483669102191925,-0.292252779006958,1.1471472869878887,0.24043339559942173
sub-032379,EO,14,1.0751652921835295,1.4270263993209236,0.36496594548225403,0.10865405201911926,1.057941877463425,1.0444723459453114
sub-032380,EC,13,0.2998989253403892,0.5143356629544602,1.9410128593444824,-0.17402146756649017,0.45346641142632776,0.294587343508371
sub-032380,EO,14,0.6223980931098233,0.9730208894529162,1.338197946548462,0.21131816506385803,0.5528054866256916,0.6856746600390624
sub-032415,EC,14,0.5311752530970959,0.6275311766148508,1.723608136177063,-0.941499263048172,0.561705207439614,0.42170861316574426
sub-032415,EO,13,0.4837088129480809,0.5669808068262294,1.3358027935028076,0.08920717239379883,0.5719260465738016,0.43739373327892295
sub-032430,EC,14,0.18836435172866983,0.28431929808010614,2.7572356462478638,-2.089199423789978,0.18966238882197944,0.17196133116355877
sub-032430,EO,12,1.0338122700966668,1.1602651116025156,0.8794934451580048,-0.4508800357580185,0.9664400409514808,1.0194692096459597
sub-032431,EC,14,0.6388960055388151,0.6753876618712116,1.0231314897537231,0.02220425964333117,0.9600468784376257,0.5248195523531831
sub-032431,EO,14,0.38592070094135417,0.5186415886154578,1.0970754027366638,0.0971972644329071,0.2045270877968573,0.7316291557936172
sub-032442,EC,13,0.4256619722898316,0.46626893840217354,2.0502724647521973,-0.712722659111023,0.420299922079628,0.4378057077845037
sub-032442,EO,14,0.8380527347669984,0.7834832643609759,1.186484158039093,0.390532910823822,0.5754239610513096,1.0359035885633014
sub-032451,EC,14,0.28565467577593157,0.48021095541299474,2.1429526805877686,-1.6099988222122192,0.2175816626537852,0.3015225756803673
sub-032451,EO,14,1.0027828025033378,1.0779971465721045,0.4257069081068039,-0.37408632040023804,1.1085646856805091,1.0289049989477241
sub-032454,EC,14,0.2308529550235,0.2850896123831749,2.5792715549468994,-2.543446183204651,0.21203720758269134,0.2326256953022635
sub-032454,EO,14,0.4313470801641216,0.7546518172436556,1.6773942708969116,-0.9510056376457214,0.36144372369014083,0.5005760444901614
sub-032455,EC,14,0.27894231437113637,0.3521584144584299,2.79075825214386,-1.9755839109420776,0.27894231437113637,0.2892901180013213
sub-032455,EO,13,0.5546906790239665,0.852936029868253,0.9908028841018677,-0.5727423429489136,0.51733330867407,0.82982597553737
